Zeglarz jachtowy - budowa jachtu
Główna część jachtu, zapewnia pływalność i mieści załogę oraz wyposażenie;kadłub
Przednia część kadłuba jachtu;dziób
Tylna część kadłuba jachtu;rufa
Lewa strona jachtu patrząc w kierunku dziobu;lewa burta
Prawa strona jachtu patrząc w kierunku dziobu;prawa burta
Górna powierzchnia kadłuba, po której porusza się załoga;pokład
Wnętrze jachtu pod pokładem, przeznaczone dla załogi i wyposażenia;kabina
Otwarte zagłębienie w rufowej części jachtu, miejsce pracy sternika i załogi;kokpit
Pionowa lub skośna część łącząca burtę z dnem kadłuba;obło
Najniższa zewnętrzna część kadłuba;dno
Ciężki element pod kadłubem ograniczający dryf i zwiększający stateczność;balast
Płetwa pod dnem jachtu ograniczająca dryf boczny;miecz
Skrzynia w kadłubie, w której porusza się opuszczany miecz;skrzynka mieczowa
Stała płetwa balastowa pod kadłubem jachtu;kil
Ruchoma płetwa za rufą lub pod rufą służąca do sterowania;płetwa sterowa
Drążek połączony ze sterem, służy do ręcznego sterowania jachtem;rumpel
Przedłużenie rumpla ułatwiające sterowanie z burty;przedłużacz rumpla
Koło służące do sterowania większym jachtem;koło sterowe
Pionowy drzewiec ustawiony na pokładzie, niesie żagle;maszt
Poziomy drzewiec mocowany do masztu, rozpinający dolny lik grota;bom
Liny i elementy utrzymujące maszt w pozycji pionowej;takielunek stały
Liny służące do stawiania, opuszczania i regulacji żagli;takielunek ruchomy
Lina lub stalówka podtrzymująca maszt od przodu;sztag
Lina lub stalówka podtrzymująca maszt od tyłu;achtersztag
Boczne liny lub stalówki podtrzymujące maszt;wanty
Linka biegnąca do góry masztu, służy do podnoszenia żagla;fał
Lina służąca do ustawiania żagla względem wiatru;szot
Największy podstawowy żagiel noszony na maszcie i bomie;grot
Przedni żagiel stawiany na sztagu;fok
Duży lekki żagiel używany na kursach z wiatrem;spinaker
Trójkątny lekki żagiel asymetryczny używany na pełniejszych kursach;genaker
Przednia krawędź żagla;lik przedni
Dolna krawędź żagla;lik dolny
Tylna krawędź żagla;lik tylny
Najwyższy róg żagla;róg fałowy
Przedni dolny róg żagla;róg halsowy
Tylny dolny róg żagla, do którego zwykle działa szot;róg szotowy
Listwy usztywniające żagiel i stabilizujące jego kształt;listwy żaglowe
Urządzenie na dziobie lub w maszcie do zwijania żagla przedniego;roler foka
Osprzęt z rowkiem i blokadą do mocowania liny bez wiązania;knaga
Krążek w obudowie zmieniający kierunek prowadzenia liny;blok
Metalowy element z zamkiem do szybkiego łączenia lin lub osprzętu;karabińczyk
Element pokładowy do cumowania lin;poler
Poprzeczne lub podłużne przejście w relingu ułatwiające wejście na jacht;bramka relingu
Stalowa linka lub poręcz wokół pokładu zwiększająca bezpieczeństwo;reling
Lina służąca do przywiązania jachtu do pomostu lub kei;cuma
Lina ustawiająca jacht skośnie przy pomoście i ograniczająca ruch wzdłużny;szpring
Ciężar opuszczany na dno, utrzymuje jacht w miejscu;kotwica
Lina lub łańcuch łączący jacht z kotwicą;lina kotwiczna
Urządzenie do wypompowywania wody z wnętrza kadłuba;pompa zęzowa
